BJD - 2454833, Corrected Flux
2323.875695193, 0.993878624,
2323.896126907, 0.994034666,
2323.916558721, 0.994003754,
2323.936990634, 0.993883612,
2323.957422347, 0.994324335,
2323.977854160, 0.994231121,
2323.998286073, 0.994302139,
2324.018717885, 0.994202082,
2324.039149597, 0.994992207,
2324.059581509, 0.993943763,
2324.080013321, 0.993144239,
2324.100445032, 0.993619895,
2324.120876943, 0.993718404,
2324.141308754, 0.993789355,
2324.161740464, 0.994247217,
2324.182172375, 0.994005492,
2324.243467804, 0.993410716,
2324.263899613, 0.993995670,
2324.284331422, 0.994132266,
2324.304763230, 0.993681909,
2324.325194939, 0.994098819,
2324.345626847, 0.993738397,
2324.366058654, 0.994044913,
2324.386490462, 0.994159044,
2324.406922269, 0.993992736,
2324.427354076, 0.994609291,
2324.447785883, 0.994146073,
2324.468217789, 0.994240659,
2324.488649496, 0.994841223,
2324.509081301, 0.994108377,
2324.529513207, 0.994433449,
2324.549944913, 0.994417573,
2324.570376818, 0.994444752,
2324.590808623, 0.994388765,
2324.611240327, 0.994323940,
2324.631672232, 0.994082708,
2324.652104036, 0.994500035,
2324.672535740, 0.994324346,
2324.713399446, 0.994259422,
2324.733831149, 0.994321497,
2324.754263052, 0.994232335,
2324.774694855, 0.994240436,
2324.795126557, 0.994525905,
2324.815558459, 0.994581014,
2324.835990261, 0.994768674,
2324.856422062, 0.994481526,
2324.876853863, 0.994201279,
2324.897285664, 0.994454922,
2324.917717465, 0.994769102,
2324.938149365, 0.994378560,
2324.958581065, 0.994154807,
2324.979012865, 0.994112268,
2324.999444665, 0.993958020,
2325.019876464, 0.994163127,
2325.040308363, 0.994273645,
2325.060740062, 0.994311728,
2325.081171861, 0.993933351,
2325.101603759, 0.994525188,
2325.122035457, 0.994490336,
2325.142467255, 0.994413419,
2325.162899152, 0.994742968,
2325.203762647, 0.994339539,
2325.224194544, 0.994245714,
2325.244626240, 0.994235255,
2325.265058036, 0.994300838,
2325.285489932, 0.994230029,
2325.305921728, 0.994136721,
2325.326353524, 0.994800920,
2325.346785619, 0.994384264,
2325.367217414, 0.994267178,
2325.387649209, 0.994448382,
2325.408081003, 0.994267294,
2325.428512697, 0.994139023,
2325.448944591, 0.994520865,
2325.469376385, 0.994241154,
